Theta_now,V_trans,Lmot_RPM,Rmot_RPM,Output_lmot,Output_rmot,DN_Lmot,DN_Rmot
-4.46,0.00,0.00,0.00,96.00,96.00,0,0
-4.29,0.00,0.00,0.00,82.00,82.00,0,0
-3.92,0.00,0.00,0.00,63.00,63.00,-1,-1
-3.34,-0.00,-0.11,0.00,40.00,40.00,-2,-2
-2.93,-0.01,-0.20,-0.13,-30.00,-30.00,-3,-3
-2.75,-0.02,-0.28,-0.21,34.00,34.00,-4,-4
-2.71,-0.02,-0.27,-0.23,37.00,37.00,-4,-4
-2.65,-0.02,-0.29,-0.28,33.00,33.00,-5,-5
-2.51,-0.02,-0.29,-0.28,0.00,0.00,-5,-5
-2.52,-0.02,-0.26,-0.27,0.00,0.00,-5,-6
-2.52,-0.02,-0.23,-0.25,0.00,0.00,-5,-6
-2.54,-0.01,-0.21,-0.22,0.00,0.00,-5,-6
-2.51,-0.01,-0.19,-0.20,0.00,0.00,-5,-6
-2.48,-0.01,-0.17,-0.18,0.00,0.00,-5,-6
-2.45,-0.01,-0.15,-0.16,0.00,0.00,-5,-6
-2.43,-0.01,-0.14,-0.15,0.00,0.00,-5,-6
-2.42,-0.01,-0.12,-0.13,0.00,0.00,-5,-6
-2.43,-0.00,-0.11,0.00,0.00,0.00,-5,-5
-2.46,0.00,0.00,0.00,0.00,0.00,-5,-5
-2.48,0.00,0.00,0.00,0.00,0.00,-5,-5
-2.50,0.00,0.00,0.00,0.00,0.00,-5,-5
-2.51,0.00,0.00,0.00,0.00,0.00,-5,-5
-2.52,0.00,0.00,0.00,0.00,0.00,-5,-5
-2.54,0.00,0.00,0.00,0.00,0.00,-5,-5
-2.55,0.00,0.00,0.00,0.00,0.00,-5,-5
-2.58,0.00,0.00,0.00,0.00,0.00,-5,-5
-2.60,0.00,0.00,0.00,0.00,0.00,-5,-5
-2.64,0.00,0.00,0.00,0.00,0.00,-5,-5
-2.67,0.00,0.00,0.00,0.00,0.00,-5,-5
-2.71,0.00,0.00,0.00,37.00,37.00,-5,-5
-2.76,0.00,0.00,0.00,38.00,38.00,-5,-5
-2.77,0.00,0.00,0.00,39.00,39.00,-5,-5
-2.81,0.00,0.00,0.00,41.00,41.00,-5,-5
-2.78,0.00,0.00,0.00,39.00,39.00,-5,-5
-2.77,0.00,0.00,0.00,38.00,38.00,-5,-5
-2.80,0.00,0.00,0.00,39.00,39.00,-5,-5
-2.77,0.00,0.00,0.00,37.00,37.00,-5,-5
-2.76,0.00,0.00,0.00,37.00,37.00,-5,-5
-2.68,0.00,0.00,0.00,0.00,0.00,-5,-5
-2.62,0.00,0.00,0.00,0.00,0.00,-5,-5
-2.57,0.00,0.00,0.00,0.00,0.00,-5,-5
-2.54,0.00,0.00,0.00,0.00,0.00,-5,-5
-2.50,0.00,0.00,0.00,0.00,0.00,-5,-5
-2.50,0.00,0.00,0.00,0.00,0.00,-5,-5
-2.50,0.00,0.00,0.00,0.00,0.00,-5,-5
-2.51,0.00,0.00,0.00,0.00,0.00,-5,-5
-2.54,0.00,0.00,0.00,0.00,0.00,-5,-5
-2.58,0.00,0.00,0.00,0.00,0.00,-5,-5
-2.62,0.00,0.00,0.00,0.00,0.00,-5,-5
-2.66,0.00,0.00,0.00,0.00,0.00,-5,-5
-2.70,0.00,0.00,0.00,0.00,0.00,0,0
-2.72,0.00,0.00,0.00,37.00,37.00,0,0
-2.78,0.00,0.00,0.00,39.00,39.00,0,0
-2.73,0.00,0.00,0.00,37.00,37.00,0,0
-2.69,0.00,0.00,0.00,0.00,0.00,0,0
-2.68,0.00,0.00,0.00,0.00,0.00,0,0
-2.65,0.00,0.00,0.00,0.00,0.00,0,0
-2.62,0.00,0.00,0.00,0.00,0.00,0,0
-2.59,0.00,0.00,0.00,0.00,0.00,0,0
-2.57,0.00,0.00,0.00,0.00,0.00,0,0
-2.55,0.00,0.00,0.00,0.00,0.00,0,0
-2.55,0.00,0.00,0.00,0.00,0.00,0,0
-2.55,0.00,0.00,0.00,0.00,0.00,0,0
-2.56,0.00,0.00,0.00,0.00,0.00,0,0
-2.57,0.00,0.00,0.00,0.00,0.00,0,0
-2.59,0.00,0.00,0.00,0.00,0.00,0,0
-2.60,0.00,0.00,0.00,0.00,0.00,0,0
-2.63,0.00,0.00,0.00,0.00,0.00,0,0
-2.67,0.00,0.00,0.00,0.00,0.00,0,0
-2.70,0.00,0.00,0.00,0.00,0.00,0,0
-2.73,0.00,0.00,0.00,38.00,38.00,0,0
-2.74,0.00,0.00,0.00,38.00,38.00,0,0
-2.75,0.00,0.00,0.00,38.00,38.00,0,0
-2.79,0.00,0.00,0.00,40.00,40.00,0,0
-2.74,0.00,0.00,0.00,37.00,37.00,0,0
-2.70,0.00,0.00,0.00,36.00,36.00,0,0
-2.65,0.00,0.00,0.00,0.00,0.00,0,0
-2.62,0.00,0.00,0.00,0.00,0.00,0,0
-2.56,0.00,0.00,0.00,0.00,0.00,0,0
-2.49,0.00,0.00,0.00,0.00,0.00,0,0
-2.41,0.00,0.00,0.00,0.00,0.00,0,0
-2.32,0.00,0.00,0.00,0.00,0.00,0,0
-2.22,0.00,0.00,0.00,-41.00,-41.00,0,0
-2.12,0.00,0.00,0.00,-45.00,-45.00,0,0
-1.98,0.00,0.00,0.00,-50.00,-50.00,0,0
-1.82,0.00,0.00,0.00,-56.00,-56.00,1,1
-1.88,0.00,0.12,0.00,-45.00,-45.00,2,2
-2.31,0.01,0.20,0.00,31.00,31.00,3,3
-2.52,0.01,0.28,0.00,30.00,30.00,4,4
-2.58,0.01,0.30,0.00,-32.00,-32.00,4,4
-2.56,0.01,0.31,0.00,-38.00,-38.00,5,4
-2.54,0.01,0.33,0.00,-37.00,-37.00,5,4
-2.60,0.01,0.35,0.00,-32.00,-32.00,6,4
-2.70,0.01,0.36,0.00,0.00,0.00,6,4
-2.86,0.01,0.35,0.00,0.00,0.00,7,4
-2.93,0.01,0.34,0.00,0.00,0.00,7,4
-2.94,0.01,0.30,0.00,0.00,0.00,7,4
-2.98,0.01,0.27,0.00,0.00,0.00,7,4
-3.02,0.01,0.24,0.00,0.00,0.00,7,4
-3.08,0.01,0.22,0.00,41.00,41.00,7,4
-3.11,0.01,0.17,0.00,42.00,42.00,6,4
-3.21,0.00,0.13,0.00,46.00,46.00,6,4
-3.27,0.00,0.00,0.00,52.00,52.00,5,3
-2.70,0.00,0.00,0.00,0.00,0.00,4,2
-2.38,0.00,0.00,0.00,-47.00,-47.00,4,1
-2.33,0.00,0.00,0.00,-45.00,-45.00,4,1
-2.52,0.00,0.00,0.00,0.00,0.00,4,2
-2.96,0.00,0.00,0.00,52.00,52.00,4,2
-3.34,0.00,0.00,0.00,65.00,65.00,4,2
-3.40,0.00,0.00,0.00,60.00,60.00,4,1
-3.12,0.00,0.00,0.00,32.00,32.00,4,0
-2.89,0.00,0.00,0.00,-30.00,-30.00,3,0
-2.81,0.00,0.00,0.00,34.00,34.00,2,0
-2.95,0.00,0.00,0.00,47.00,47.00,2,0
-2.86,0.00,0.00,0.00,45.00,45.00,1,-1
-2.55,0.00,0.00,0.00,0.00,0.00,1,-1
-2.45,0.00,0.00,0.00,0.00,0.00,1,-2
-2.53,0.00,0.00,0.00,0.00,0.00,0,-2
-2.66,0.00,0.00,0.00,0.00,0.00,0,-2
-2.81,0.00,0.00,0.00,45.00,45.00,0,-2
-2.62,0.00,0.00,0.00,0.00,0.00,0,-2
-2.70,0.00,0.00,0.00,38.00,38.00,0,-2
-2.61,0.00,0.00,0.00,0.00,0.00,0,-2
-2.63,0.00,0.00,0.00,0.00,0.00,0,-2
-2.60,0.00,0.00,0.00,0.00,0.00,0,-2
-2.54,0.00,0.00,0.00,0.00,0.00,0,-2
-2.50,0.00,0.00,0.00,0.00,0.00,0,-2
-2.42,0.00,0.00,0.00,0.00,0.00,0,-2
-2.34,0.00,0.00,0.00,0.00,0.00,0,-2
-2.25,0.00,0.00,0.00,-39.00,-39.00,0,-2
-2.19,0.00,0.00,0.00,-43.00,-43.00,1,-1
-2.13,0.00,0.00,0.00,-45.00,-45.00,1,-1
-1.96,0.00,0.00,0.00,-52.00,-52.00,2,0
-2.08,0.00,0.00,0.00,-41.00,-41.00,3,0
-2.51,0.00,0.00,0.00,0.00,0.00,4,1
-2.71,0.00,0.00,0.00,0.00,0.00,5,2
-2.88,0.00,0.00,0.00,0.00,0.00,5,2
-2.94,0.00,0.00,0.00,40.00,40.00,6,2
-2.88,0.00,0.00,0.00,0.00,0.00,6,2
-2.79,0.00,0.00,0.00,0.00,0.00,6,2
-2.76,0.00,0.00,0.00,0.00,0.00,6,2
-2.75,0.00,0.00,0.00,0.00,0.00,6,2
-2.75,0.00,0.00,0.00,0.00,0.00,6,2
-2.77,0.00,0.00,0.00,0.00,0.00,6,2
-2.83,0.00,0.00,0.00,0.00,0.00,6,2
-2.90,0.00,0.00,0.00,0.00,0.00,6,2
-2.98,0.00,0.00,0.00,42.00,42.00,6,2
-3.11,0.00,0.00,0.00,47.00,47.00,6,1
-3.25,0.00,0.00,0.00,53.00,53.00,5,1
-3.14,0.00,0.00,0.00,45.00,45.00,4,1
-3.03,0.00,0.00,0.00,36.00,36.00,4,0
-2.94,0.00,0.00,0.00,34.00,34.00,3,0
-2.97,0.00,0.00,0.00,41.00,41.00,2,0
-2.91,0.00,0.00,0.00,37.00,37.00,1,-1
-2.69,0.00,0.00,0.00,0.00,0.00,0,-1
-2.62,0.00,0.00,0.00,0.00,0.00,0,-2
-2.72,0.00,0.00,0.00,41.00,41.00,0,-2
-2.55,0.00,0.00,0.00,0.00,0.00,0,-2
-2.60,0.00,0.00,0.00,0.00,0.00,0,-2
-2.66,0.00,0.00,0.00,38.00,38.00,0,-2
-2.51,0.00,0.00,0.00,0.00,0.00,0,-2
-2.53,0.00,0.00,0.00,0.00,0.00,0,-2
-2.45,0.00,0.00,0.00,0.00,0.00,0,-2
-2.37,0.00,0.00,0.00,0.00,0.00,0,-2
-2.28,0.00,0.00,0.00,0.00,0.00,0,-2
-2.16,0.00,0.00,0.00,-43.00,-43.00,0,-2
-2.05,0.00,0.00,0.00,-46.00,-46.00,0,-2
-1.94,0.00,0.00,0.00,-52.00,-52.00,0,-2
-1.77,0.00,0.00,0.00,-60.00,-60.00,1,-1
-2.15,0.01,0.12,0.12,-36.00,-36.00,2,0
-2.62,0.01,0.20,0.20,0.00,0.00,3,1
-2.84,0.02,0.28,0.28,0.00,0.00,4,2
-2.92,0.02,0.32,0.32,0.00,0.00,5,2
-2.90,0.02,0.36,0.31,0.00,0.00,5,3
-2.75,0.02,0.35,0.31,0.00,0.00,6,3
-2.59,0.02,0.34,0.27,-42.00,-42.00,6,3
